Aēr lēniter spīrāns.	aura, -ae
Manus laeva. 	laeva, -ae
Pilī in faciē.	barba, -ae
Capillus aliquā cum cūrā compositus.	coma, -ae
Aegrōtātiō mentis.	īnsānia, -ae
< iūstus	iūstitia, -ae
Īnstrūmentum in quō ars magis aestimātur quam māteria.	māchina, -ae
Ager qui aratur.	arvum, -i 
Scutum rotundum.	clipeus, -i 
Consilium fallendī.	dolus, -i
Servus (< famulari)	 famulus, -i
Res mirabilis contra naturam facta.	prodigium, -i
Regis imperium 	regnum, -i
Universim est homo adjunctus fortuna, opere, iternere, negotiis. 	socius, -i
Quod in somno videtur. 	somnium, -i
Proprie est quidquid jacitur percutiendi causa. 	telum, -i
Quidquid connectit et constringit. 	vinculum, -i
Domus	aedes, aedium (f. pl.)
Omnium genus serpentius vel serpens antiquus. 	anguis, -is (m./f.)
Capillus 	crinis, -is (m.)
Summa pars aedificii aut montis, summa fortuna. 	culmen, -inis, (n.)
Qui defendit. 	defensor, oris (m.)
Strepitus gravis. 	fragor, fragoris (m.)
Folia arborum. 	frons, frondis (f.)
Restis, -is (f.) 	funis, -is (m.)
< horrere 	horror, -oris (m.)
Aetas iuvenis.	iuventus, utis (f.)
Lux 	lumen, -inis (n.)
Ingens forma, magnetudo. 	moles, -is (f.)
Filius filii/filiae. 	nepos, nepotis (m./f.)
Voluntas deorum. 	numen, -inis (n.)
Quod portatur.	onus, -eris (n.)
Timor subitus. 	pavor, pavoris (m.)
Lignum durrissimum. 	robur, -oris (?)
Quod aspicitur. 	species, -ei (f.)
Lignum multo crassius et solidus quod tectum sustinet. 	trabs, -bis (f.), (acc. -im, abl. -i)
Aedificium in magnam altitudinem erectum. 	turris, -is (f.)
Gemendi actus ac sonus. (< gemere) 	gemitus, -us (m.)
< lugere 	luctus, -us (m.)
Filius (< nasci) 	natus, -i (m./f.)
< ululare 	ululatus, -us (m.)
Ius divinum. 	fas (indec.)
Licet per deos. 	fas est
	
Simul clamare. 	conclamare
Dominus esse. (<-> servire) 	dominari
<-> implicare 	explicare, explicuisse, explicitum
Conficere arte fabrorum. 	fabricare
Ardere. 	Flagrare
Sacrificii causa occidere. 	 immolare
Animum excitare (ad iram). 	incitare
Rursus incipere. 	instaurare
Subito moveri ac fulgere. 	 micare
Trucidare 	obtruncare
Crudeliter occidere. 	Trucidare
Vi intrare. 	penetrare
Dicere se nolle. 	recusare
Sonum dare. 	sonare, sonuisse
Sonum reddere. 	resonare
Tonitrus fit. 	tonare, tonuisse
	
Animum valde movere. 	commovere, commovisse, commotum
(re necessaria) carere 	egere, eguisse (+ abl.)
(subito) splendere 	fulgere, fulsisse
Fixus esse, moveri non posse. 	haerere, haesisse, heasum
	
< ad-loqui 	alloqui
Complexti 	amplexti, amplexum
<-> ad-vehere 	avehere, avexisse, avectum
Prehendere 	comprehendere
Cedere 	concedere
Cadere (in loco), collabi. 	concidere
Fugere in locum tutum. 	confugere
Iacere (in unum locum) 	conicere, coniecisse, coniectum
Tangere 	contingere, tontigisse, contactum
Celeriter rapere. 	corripere, corripuisse, correptum
Deorsum currere. 	decurrere, decucurrisse, decursum
Deorum figere. 	defigere
<-> tollere 	demittere
Accumbere mensae. 	discumbere, discubuisse, discubitum
Effugere, evader? 	elabi
Tollere 	erigere, ???
Graviter spirare ob dolorem. 	gemere, gemisse, gemitum
Diligenter spicere. 	inspicere
Expandere, explicare, patefacere. 	pandere, pandisse, passum
Aperire 	patefacere
	
Totum afficere, permovere. 	perfundere
Narrare res futuras antequam evenerint. 	praedicere
Longiorem facere. 	producere
Iterum petere. 	repetere
<-> prōspicere 	respicere
Extinguere 	restinguere, restinxisse, restinctum?
Iterum visere. 	 revisere
Sē praecipitāre, prōcurrere.  	ruere, ruisse, rutum 
Ēdūcere (gladium) 	stringere, strixisse, strictum
Extendere 	tendere, tetendisse, tentum/tensum
Fortiter ire.  	vādere, vāsisse
	
In eundem locum ferre. 	conferre
ēgredī 	pedum eferre
Quī alicui bene vult.	benignus -a -unum
Diēs ōtiōsus quō dī adōrantur. 	fēstus -a -um : diēs f.
Invalidus, dēbilis. 	īnfīrmus -a -um 
Cui ultor nōn est. 	inultus -a -um
Sinister	laevus -a -um
Latēns. 	occultus -a -um
< pater 	patrius -a -um
Timidus, territus. 	pavidus -a -um
Ex patriā fugiēns. 	profugus -a -um
< rēx 	rēgius -a -um
Vulnerātus 	saucius -a -um
< scelus	scelerātus -a -um
Ingēns et dēsertus. 	vāstus -a -um
Summus, ultimus. 	suprēmus -a -um
Cui nēmō cōnfidit. 	suspectus -a -um
Cui mēns abest, īnsānus. 	āmēns, -entis
Quī vītārī nōn potest. 	inēluctābilis -e
< caelum 	caelestis -e
Quī nihil prōdest, quō nēmō ūtī potest. 	inūtilis -e
Mollis et tenius, invalidus. 	tener -a -um
Fertilis 	ūber -eris
Paulō ante. 	dūdum
Aequē, eōdem modō. 	pariter
Frūstrā 	nēquīquam
Ex interiōre parte. 	penitus
Ex omnibus locīs/partibus. 	undique
Ōlim, aliquandō. 	quondam
Quō itinere, quā viā, vel per quem locum. 	quā
