Onus grave magnum ___ habet.	pondus, ponderis, n.
Rem suam facere.    	potiri, potitum (+ abl.)
Cōnstituere	condere
Celeriter   	citō
Ultrā aut ante vehere.	prō-vehere
Filiī et nepōtēs et eōrum filiī et nepōtēs et cēt.	posterī, posterōrum m.
<-> dēdūcere	sūbdūcere
Morbus gravis quī multōs simul afficit.	pestilentia, -ae f.
Tam valdē, ita.	adeō
Nocte 	noctū
 Stāre prope aliquid.	ad-stāre (+ dat.)
Locus ubi aliquis habitat.	Sēdēs, -is f.
<-> propinquus	longinquus -a -um
Sēdem capere.	cōnsīdere
Stupentem facere.	stupefacere
Pater/māter.	parēns, -entis m./f.
Mare summum, mare.	aequor, oris n.
Nubes quae imbrem affert.	nimbus, -ī 
Subitus	repentīnus -a -um
 Rem unam ab alia separare, dividere.	discernere, discrēvisse, discrētum
<-> noctū 	interdiū
Īdem numerus.	totidem
Ūsque ad id tempus quō.	quoad 
Deorsum ferre.	dēferre, dētulisse, delātum
Arcuatus	curvus
Turgidus	tumidus
Avis	volucris, -is f.
Parvus fluctus.	unda, -ae f.
Sacrificium facere.	sacrificāre
Quod crēdī potest.	incrēdibilis -e
Mulier quae marītum āmīsit.	vidua -ae f.
Ultimus in locō, tempore, vel ōrdine.	extrēmus -a -um
Silva deō sacra.	lūcus -ī m.
Animae mortuōrum.	Mānēs -ium m.
Ut prīmum, postquam.	ut (+ perf.)
Recognōscere	agnōscere, agnōvisse
Terrēre	exterrēre
Pallēre incipere, pallidus fierī.	pallēscere, palluisse
Arbitrārī	rērī
postestātem reī habens.	reī potēns
Vās humile ex quō vīnī sacraficium fit.	patera -ae f.
Prīma lux.	aurōra -ae
<occidere	occāsus -ūs m. 
Discēdere	dīgredī, dīgressum
Homō qī dīvīnō modō rēs futūrās praedīcit.	vātēs -is  m./f.
Circum vado, ambīre (ambio)	circumīre
Melius/preaferendum est.	praestat
Vorāgō turbida.	gurges -itis m.
Spelunca	antrum -ī n.
Id quod accidit.	cāsus -ūs m
Bōs iuvenis.	iuvencus -ī m.
Diūtius in locō manēre.	morārī
(hospitem domum suam) vocāre, recipere	invītāre
Relinquere	linquere
