Onus grave magnum ___ habet.	pondus, ponderis, n.
Rem suam facere.    potiri, potitum (+ abl.)
Cōnstituere	 condere
Celeriter	citō
Ultrā aut ante vehere.	prō-vehere
Filiī et nepōtēs et eōrum filiī et nepōtēs et cēt.	posterī, posterōrum m.
<-> dēdūcere	 sūbdūcere
Morbus gravis quī multōs simul afficit.	 pestilentia, -ae f.
Tam valdē, ita.	 adeō
Nocte 	noctū
 Stāre prope aliquid.	ad-stāre (+ dat.)
Locus ubi aliquis habitat.	Sēdēs, -is f.
<-> propinquus	longinquus -a -um
Sēdem capere.	cōnsīdere
Stupentem facere.	stupefacere
Pater/māter.	parēns, -entis m./f.
Mare summum, mare.	aequor, oris n.
Nubes quae imbrem affert.	nimbus, -ī 
Subitus	 repentīnus -a -um
 Rem unam ab alia separare, dividere.	discernere, discrēvisse, discrētum
<-> noctū 	interdiū
Īdem numerus.	totidem
Ūsque ad id tempus quō.	 quoad 
Deorsum ferre.	dēferre, dētulisse, delātum
Arcuatus	curvus
Turgidus	tumidus
Avis	volucris, -is f.
Parvus fluctus.	 unda, -ae f.
Sacrificium facere.	 sacrificāre
Relinquere	linquere
